District,Percentage of Scheduled Caste Population _2001_Rural,Percentage of Scheduled Caste Population _2001_Urban,Percentage of Scheduled Caste Population _2001_Total,Percentage of Scheduled Caste Population _2011_Rural,Percentage of Scheduled Caste Population _2011_Urban,Percentage of Scheduled Caste Population _2011_Total
Chikkodi,15.74,29.49,17.67,13.53,26.26,15.18
Athani,13.47,19,14.17,14.64,21.43,15.51
Raibag,17.95,14.3,17.58,18.79,15.44,18.44
Gokak,8.11,7.36,7.9,9.44,9.6,9.48
Hukkeri,13.47,10.74,13.07,14.35,14.77,14.41
Belagavi,5.59,7.09,6.52,6.23,8.24,7.58
Khanapur,6.96,7.77,7.04,7.67,7.7,7.67
Savadatti,8.41,5.97,8.11,9.96,6.44,9.54
Bailhongal,5.13,6.82,5.4,5.64,6.44,5.77
Ramadurg,14.11,12.19,13.8,15.99,13.93,15.72
Kitthuru,8.72,5.5,7.7,9.21,6.27,8.27
Nippani,12.83,14.86,13.34,19.3,13.55,17.63
Kagavada,16.92,14.6,16.09,17.67,16.4,17.21
Mudalagi,11.69,11.41,11.41,13.18,12.85,15.31
Jamakhandi,16.11,13.7,15.5,17.29,15.86,16.92
Bilagi,17.92,14.37,17.54,19.37,14.46,18.83
Mudhol,18.05,15.64,17.57,19.66,17.21,19.15
Badami,13.59,12.03,13.27,15.24,13.25,14.82
Bagalkote,19.06,8.53,15.18,20.56,10.34,16.55
Hungund,13.82,13.37,13.76,17.05,14.38,16.15
Guledagudda,12.33,6.27,9.77,15.01,7.44,12.18
Ilkal,19.07,9.5,15.71,23.56,10.2,17.82
Rabakavi Banahatti,16.38,14.23,15.27,17.83,16.6,17.21
Bijapur,27.06,12.52,16.94,30.71,14.61,19.41
Indi,18.96,23.32,19.51,19.56,23.69,20.08
Sindagi,17.21,14.25,16.84,19.52,17.08,19.19
Basavan Bagewadi,19.38,22.27,19.92,21.15,23.59,21.62
Muddebihal,20.36,10.73,18.63,23.31,13.44,21.43
Nidagundi,19.22,0,19.22,22.32,0,22.32
Babaleshwara,15.9,0,15.9,17.28,0,17.28
Chadachana,18.36,0,18.36,19.09,0,19.09
Talikote,16.63,9.55,15.03,17.97,9.49,15.93
Tikota,28.35,0,28.35,30.47,0,30.47
Kolhara,18.55,0,18.55,20.38,0,20.38
Devara Hipparagi,20.48,0,20.48,21.12,0,21.12
Aland,21.43,1.34,22.77,23.31,1.68,24.99
Afzalpur,15.88,1.94,11.82,17.48,2.57,20.5
Gulbarga,10.9,9.53,30.43,10.92,9.88,20.8
Chincholi,31.31,1.93,33.24,33.94,2.17,36.11
Sedam,21.54,4.3,25.84,28.39,4.86,28.25
Chittapur,18.22,11.06,29.28,20.76,10.96,31.72
Jevargi,18.38,1.51,19.89,20.03,1.75,21.78
Kalagi,18.22,11.06,29.28,20.76,10.96,31.72
Kamalapura,10.9,98.53,30.43,10.92,9.88,20.8
Yadrami,18.38,1.51,19.89,20.03,1.75,21.78
Shahbadha,18.22,11.06,29.28,20.76,10.96,31.72
Basavakalyan,22.83,10.24,19.91,24.96,13.31,22.31
Bhalki,21.63,21.08,21.56,25.11,26.37,25.03
Aurad,28.47,16.98,27.24,33.35,30.56,33.03
Bidar,18.81,10.02,15.03,22.95,14.1,18.89
Humnabad,22.19,12.03,20.08,24.98,16.03,23.01
Chittaguppa,25.43,0,19.97,25.7,10.65,22.8
Kamalanagara,27.18,0,24.59,29.9,30.07,29.92
Hulasuru,23.92,0,18.37,19.62,0,19.62
Lingasugur,22.13,18.55,21.31,23.43,12.97,21.2
Devdurga,20.3,16.64,19.94,21.98,17.83,21.55
Raichur,19.67,18.35,18.98,22.05,20.02,21.03
Manvi,19.69,12.07,18.82,22.36,19.98,22
Sindhanur,18.11,9,16.56,19.36,8.99,16.55
Maski,0,0,0,24,23.51,23.91
Sirivara,0,0,0,21.82,21.19,21.73
Yelburga,13.74,13.21,13.7,18.57,18.58,18.57
Kushtagi,13.06,16.89,13.4,20.65,21.08,20.72
Gangavathi,19.25,13.08,16.32,21.78,15.12,18.61
Koppal,17.51,12.34,16.45,20.77,13.29,19.2
Karatagi,16.23,0,16.23,21.28,16.59,20.17
Kukanuru,16.03,0,16.03,15.48,20.27,15.89
Kanakagiri,17.81,0,16.94,20.21,18.6,19.92
Naragund,8.36,9.88,8.89,9.11,11.12,9.83
Rona,11.28,10.6,11.18,12.4,11.66,12.29
Gadag,15.42,9.02,12.08,17.84,10.84,14.19
Shirahatti,18.76,6.09,16.32,23.43,6.16,20.09
Mundargi,20.15,15.07,19.26,23.25,16.41,21.96
Gajendragad,18.54,16.36,17.59,20.3,18.78,19.63
Laxmeshwar,23.16,10.34,18.83,26.73,13.06,22.15
Dharwad,7.89,5.91,7.07,7.39,8.82,8.22
Navalgund,7.43,13.19,8.62,8.89,15.98,10.39
Hubli,7.1,0,7.1,7.7,0,7.7
Kalgatgi,9.9,18.1,10.8,12.5,22.3,13.6
Kundgol,8.6,8.3,8.5,9.6,8.7,9.5
Hubballi Nagara,0,8.85,8.85,0,10.29,10.29
Alnavara,6.69,7.89,6.29,9.35,9.83,9.58
Annigeri,6.81,8.74,7.52,7.52,9.57,8.3
Karwar,3.96,3.84,3.9,4.12,5.15,4.66
Joida,6.39,0,6.39,6.29,0,6.29
Haliyal,6.05,12.93,7.58,6.75,14.49,8.54
Yellapur,4.6,9.16,5.71,4.23,10.13,5.77
Mundgod,14.34,17.97,14.99,16.19,16.29,16.21
Sirsi,9.49,12.98,10.79,10.26,12.87,11.13
Ankola,6.08,13.52,8,5.9,12.99,8.01
Kumta,6.06,5.86,6.01,6.31,6.2,6.29
Siddapur,6.42,5.17,6.25,6.75,5.97,6.63
Honnavar,4.73,2.88,4.52,4.81,2.82,4.58
